Rk,Tm,G,RshTD,RecTD,PR TD,KR TD,FblTD,IntTD,OthTD,AllTD,2PM,2PA,D2P,XPM,XPA,FGM,FGA,Sfty,Pts,Pts/G
1,Baltimore Ravens,17,6,18,1,,,1,,26,2,7,,18,19,32,35,3,280,16.5
2,Kansas City Chiefs,17,10,19,,,1,2,,32,3,4,,28,28,22,26,1,294,17.3
3,San Francisco 49ers,17,10,20,,,,1,,31,1,6,,23,25,29,33,,298,17.5
4,Buffalo Bills,17,14,18,1,1,,,,34,2,6,,25,26,26,28,,311,18.3
5,Dallas Cowboys,17,14,21,,,1,,,36,1,5,,31,31,22,26,,315,18.5
6,Pittsburgh Steelers,17,9,23,,,,,,32,6,6,,24,26,32,37,,324,19.1
7,Tampa Bay Buccaneers,17,11,23,,,,,,34,3,8,,26,26,29,36,1,325,19.1
8,New Orleans Saints,17,10,22,,,,2,,34,2,5,,29,29,30,35,,327,19.2
9,Las Vegas Raiders,17,15,21,,,,1,,37,,1,,34,36,25,30,,331,19.5
10,Green Bay Packers,17,15,21,1,,,,,37,4,6,,27,31,31,38,,350,20.6
11,Houston Texans,17,19,17,,,,1,,37,6,8,,27,29,30,36,1,353,20.8
12,New York Jets,17,14,19,1,,,2,,36,2,2,,31,34,34,39,1,355,20.9
13,Minnesota Vikings,17,14,23,,,,1,,38,2,3,,32,35,32,36,1,362,21.3
14,Cleveland Browns,17,15,23,,1,1,4,,44,1,3,,41,41,17,24,2,362,21.3
15,New England Patriots,17,14,19,,,1,4,,38,6,6,,31,32,31,38,1,366,21.5
16,Tennessee Titans,17,10,20,,,1,1,1,33,1,2,,29,30,46,47,,367,21.6
17,Jacksonville Jaguars,17,15,27,,1,1,,,44,1,2,,42,42,21,26,,371,21.8
18,Atlanta Falcons,17,11,24,,,,1,,36,1,2,,34,34,39,41,2,373,21.9
19,Los Angeles Rams,17,14,24,2,,,1,,41,5,7,,29,33,30,38,1,377,22.2
20,Chicago Bears,17,8,31,1,,2,2,,44,2,5,,37,39,24,33,1,379,22.3
21,Cincinnati Bengals,17,17,23,,,,1,,41,3,3,,36,38,32,35,,384,22.6
22,Miami Dolphins,17,15,27,1,1,1,3,,48,2,2,,45,46,18,21,,391,23.0
23,Detroit Lions,17,15,28,,,1,2,,46,1,4,,39,41,26,30,,395,23.2
24,Los Angeles Chargers,17,18,26,,,2,1,,47,,1,,44,46,24,27,,398,23.4
25,Seattle Seahawks,17,24,21,,,,,,45,1,1,,43,44,29,35,,402,23.6
26,New York Giants,17,24,21,,,,2,1,48,1,2,,42,46,25,32,,407,23.9
27,Denver Broncos,17,15,29,,,2,,,46,2,4,,41,42,30,35,1,413,24.3
28,Indianapolis Colts,17,22,21,,,1,,,44,,1,,39,42,36,41,1,415,24.4
29,Carolina Panthers,17,25,19,,,2,3,,49,1,2,,45,47,25,26,,416,24.5
30,Philadelphia Eagles,17,13,35,,,1,2,,51,4,6,,45,45,23,26,,428,25.2
31,Arizona Cardinals,17,19,32,,,,3,,54,1,2,,51,52,26,31,,455,26.8
32,Washington Commanders,17,15,39,,,1,4,,59,3,5,,53,54,35,39,,518,30.5
,Avg Team,,14.7,23.6,0.3,0.1,0.6,1.4,0.1,40.7,2.2,4.0,0.0,35.0,36.5,28.5,33.1,0.5,370.1,21.8
,League Total,,470,754,8,4,19,45,2,1302,70,127,1,1121,1169,911,1060,17,11842,21.8
,Avg Tm/G,,0.86,1.39,0.01,0.01,0.03,0.08,,2.39,0.13,0.23,0.00,2.06,2.15,1.67,1.95,0.03,21.8,
